### attributed: comb=297274 seq=37061 mux=128071 mem=97 membits=472564  (unattributed cells=0)

hierarchy path                                                      comb      seq      mux   mux%   seq%   mem   membits   %tot
-------------------------------------------------------------------------------------------------------------------------------
clusters.cluster.sockets.socket.cores.core.execute.__fpu_reset         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.__lsu_reset         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.__sfu_reset         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.sfu_unit.__         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.sfu_unit.__         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__lsu_adapter_reset         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__mem_coalescer_res         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.issue.issue_slices.         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.lmem_unit.__lmem_re         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.schedule.__busy__           0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.schedule.__split_jo         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.__cache_reset            0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.__nc_         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.__cac         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache.caches.__cache_reset            0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache.caches.cache_wrap.__cac         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache.caches.cache_wrap.cache         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache.caches.cache_wrap.cache         0        1        0   0.0% 100.0%     0         0   0.0%
l3cache.__nc_bypass_reset                                              0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.commit.__count__            0        0        0   0.0%   0.0%     1       192   0.0%
clusters.cluster.sockets.socket.cores.core.fetch.tag_store             0        0        0   0.0%   0.0%     1       140   0.0%
clusters.cluster.sockets.socket.cores.core.schedule.__active_w         0        0        0   0.0%   0.0%     1       192   0.0%
